,probe_id,logFC,AveExpr,t,P.Value,adj.P.Val,B,gene_symbol
21,225173_at,-1.504943407,6.938040451,-5.975858104,1.66E-08,8.34E-06,9.195089169,ARHGAP18
22,242918_at,-1.497499912,5.539873162,-4.318694247,2.88E-05,0.000537354,2.140020972,NASP
23,201101_s_at,-1.494522466,5.945491904,-4.993644255,1.66E-06,9.19E-05,4.82282939,BCLAF1
24,201291_s_at,-1.492029278,7.039592528,-3.572874997,0.000478239,0.003828366,-0.468819873,TOP2A
25,219717_at,-1.469398655,5.309513217,-7.849348475,8.07E-13,2.35E-08,18.70322391,DCAF16
26,211612_s_at,-1.459542622,5.981766425,-6.313168182,3.07E-09,4.09E-06,10.80686273,IL13RA1
27,213067_at,-1.43869836,4.971973695,-4.712311459,5.64E-06,0.000192054,3.669916526,MYH10
28,219493_at,-1.42829879,5.416999487,-4.887483893,2.65E-06,0.000120881,4.382171497,SHCBP1
29,240161_s_at,-1.427220486,4.018668946,-3.581081183,0.000464643,0.003754941,-0.44231341,CDC20B
30,209258_s_at,-1.420235185,6.952568595,-6.213894053,5.07E-09,5.14E-06,10.32721291,SMC3
31,213790_at,-1.413940784,6.865973981,-3.57024615,0.000482674,0.003857088,-0.477300456,ADAM12
32,235722_at,-1.402059838,5.454583784,-5.384784576,2.82E-07,3.51E-05,6.502428735,SYNJ2BP
33,202952_s_at,-1.393540798,5.618160994,-3.873868665,0.00016097,0.001757747,0.536162368,ADAM12
34,226535_at,-1.392920614,4.805357499,-3.364630028,0.000978356,0.006473634,-1.124283464,ITGB6
35,226535_at,-1.392920614,4.805357499,-3.364630028,0.000978356,0.006473634,-1.124283464,LINC02478
36,209257_s_at,-1.390292232,5.747369518,-4.417995697,1.92E-05,0.000416276,2.516496019,SMC3
37,203491_s_at,-1.380303203,6.668639515,-6.498712634,1.19E-09,2.57E-06,11.71462545,CEP57
38,205306_x_at,-1.379957791,5.726188301,-2.862907804,0.00481318,0.02148855,-2.56313324,KMO
39,226777_at,-1.375374471,7.438699749,-3.361740148,0.000987905,0.006516308,-1.133144533,ADAM12
40,219387_at,-1.370991908,3.725487763,-6.196190909,5.55E-09,5.22E-06,10.24213343,CCDC88A
41,205425_at,-1.359694288,6.251324022,-4.823140292,3.50E-06,0.000144652,4.118373786,HIP1
42,235102_x_at,1.359062258,3.669976431,4.520638618,1.26E-05,0.000316455,2.912446418,SNORD3B-1
43,235102_x_at,1.359062258,3.669976431,4.520638618,1.26E-05,0.000316455,2.912446418,SNORD3A
44,235102_x_at,1.359062258,3.669976431,4.520638618,1.26E-05,0.000316455,2.912446418,SNORD3B-2
45,235102_x_at,1.359062258,3.669976431,4.520638618,1.26E-05,0.000316455,2.912446418,SNORD3C
46,210868_s_at,-1.357193771,3.991142863,-5.732066159,5.46E-08,1.60E-05,8.063199208,ELOVL6
47,224563_at,-1.356391632,5.38761357,-4.894029962,2.57E-06,0.000118752,4.409149102,WASF2
48,233587_s_at,-1.350440049,5.855305312,-5.397498715,2.66E-07,3.40E-05,6.558450821,SIPA1L2
49,205123_s_at,-1.35040754,4.089829358,-5.354259308,3.25E-07,3.74E-05,6.368282814,TMEFF1
50,205123_s_at,-1.35040754,4.089829358,-5.354259308,3.25E-07,3.74E-05,6.368282814,MSANTD3-TMEFF1
51,210042_s_at,-1.339113419,7.612731141,-4.791435752,4.02E-06,0.000157317,3.989314635,CTSZ
52,232111_at,-1.337798953,7.468620813,-4.350939838,2.53E-05,0.000492263,2.261554179,TUNAR
53,238613_at,-1.332944404,7.223281597,-6.077641425,1.00E-08,7.04E-06,9.676015264,MAP3K20
54,224730_at,-1.330796824,5.748351937,-6.760906712,3.03E-10,1.32E-06,13.02125898,DCAF7
55,209031_at,-1.317283841,8.727283291,-4.605452835,8.86E-06,0.000253185,3.244751892,CADM1
56,222587_s_at,-1.3164226,6.493655136,-4.883762881,2.69E-06,0.000121831,4.366847958,GALNT7
57,203176_s_at,-1.315010956,5.621914408,-5.288789876,4.39E-07,4.37E-05,6.082285499,TFAM
58,213652_at,-1.313208933,8.204984632,-4.248949224,3.80E-05,0.000645994,1.879536753,PCSK5
59,214450_at,1.311699847,7.509128496,2.844276305,0.005087893,0.022395985,-2.61262233,CTSW
60,218401_s_at,-1.310556254,6.900489888,-5.552814102,1.28E-07,2.30E-05,7.249769713,ZNF281
61,204259_at,-1.309168919,8.168064328,-2.569553458,0.011180753,0.040737549,-3.30850862,MMP7
62,200835_s_at,-1.308796465,5.879494776,-6.494534035,1.21E-09,2.57E-06,11.69402407,MAP4
63,217878_s_at,-1.30843561,7.269007549,-6.359765198,2.42E-09,3.48E-06,11.03346983,CDC27
64,212670_at,1.308404721,7.797911864,3.65224122,0.000361099,0.003117989,-0.210339694,ELN
65,219384_s_at,-1.306527296,6.133311199,-6.878574375,1.63E-10,1.11E-06,13.61626705,ADAT1
66,223178_s_at,-1.299247946,5.649070264,-5.741377016,5.22E-08,1.58E-05,8.105894713,NT5DC1
67,229733_s_at,1.295495417,8.90042991,3.883969655,0.000155025,0.00170887,0.571038361,NA
68,222834_s_at,-1.295081091,6.22749157,-5.012634545,1.53E-06,8.80E-05,4.902358009,GNG12
69,219454_at,-1.294495671,7.297228941,-4.545993801,1.14E-05,0.000295402,3.011306426,EGFL6
70,1558028_x_at,-1.292734377,6.622597885,-4.225698617,4.17E-05,0.000688656,1.793430177,NORAD
71,203215_s_at,-1.292507109,7.078485283,-5.983988498,1.60E-08,8.32E-06,9.233328038,MYO6
72,204286_s_at,-1.291928577,4.999931532,-4.254120236,3.72E-05,0.000637809,1.898736943,PMAIP1
73,203803_at,-1.29135255,6.511095314,-3.823578102,0.000193938,0.002001045,0.363619624,PCYOX1
74,227048_at,-1.2906877,3.577921035,-5.32305938,3.75E-07,4.02E-05,6.231695857,LAMA1
75,203016_s_at,-1.285501049,5.714874696,-5.547099133,1.32E-07,2.33E-05,7.224106931,SSX2IP
76,227230_s_at,-1.280766178,6.075924548,-5.079356023,1.13E-06,7.41E-05,5.183446023,CRACD
77,1555920_at,-1.280360261,4.936697792,-4.343650046,2.60E-05,0.000503015,2.234018423,CBX3
78,214313_s_at,-1.277349374,4.155358284,-4.080939486,7.34E-05,0.001015239,1.265652164,EIF5B
79,211138_s_at,-1.273503705,6.024023804,-2.76131086,0.006493433,0.02693078,-2.829482735,KMO
80,1555938_x_at,-1.267217364,5.779743704,-4.129234755,6.09E-05,0.000892418,1.440126552,VIM
81,203358_s_at,-1.266918137,6.08690949,-4.27131409,3.48E-05,0.000609554,1.962708432,EZH2
82,203869_at,-1.264656433,5.751077578,-5.375496567,2.94E-07,3.59E-05,6.461558332,USP46
83,219932_at,-1.264511784,3.634828635,-4.649824838,7.35E-06,0.000225106,3.420426226,SLC27A6
84,1553106_at,-1.264211537,4.935000069,-5.751320222,4.97E-08,1.54E-05,8.151537521,C5orf24
85,214767_s_at,1.257744037,5.780451172,3.418433235,0.000815618,0.005647662,-0.958126464,HSPB6
86,201072_s_at,-1.257025533,6.502855972,-6.62701629,6.11E-10,1.85E-06,12.35063001,SMARCC1
87,228010_at,-1.252989098,7.555413617,-3.315693079,0.001152298,0.007304549,-1.27345758,PPP2R2C
88,201525_at,1.252769144,10.69530966,3.44679974,0.000740395,0.005261385,-0.869623309,APOD
89,221911_at,-1.25133876,4.7784764,-3.972769096,0.000111027,0.001361682,0.880785878,ETV1
90,204507_s_at,-1.249637186,5.009519736,-6.387192899,2.11E-09,3.39E-06,11.16728665,PPP3R1
91,1554271_a_at,-1.249577052,3.759553338,-5.782960589,4.27E-08,1.41E-05,8.297103899,CENPL
92,203305_at,-1.249148478,7.813875034,-4.573019777,1.01E-05,0.000273998,3.11713496,F13A1
93,222925_at,-1.247934438,6.922307793,-4.479573813,1.50E-05,0.000353817,2.753214492,DCDC2
94,201473_at,1.247499117,9.52590689,4.207103229,4.49E-05,0.000723202,1.724828213,JUNB
95,217100_s_at,-1.246780233,5.040110787,-6.853440648,1.86E-10,1.12E-06,13.48874065,UBXN7
96,204285_s_at,-1.246576743,6.747375031,-3.783559138,0.000224653,0.002226369,0.227630218,PMAIP1
97,1557137_at,-1.244425087,4.873326127,-5.806913504,3.80E-08,1.35E-05,8.40763117,TMEM17
98,223457_at,-1.24380936,5.076138093,-6.011345933,1.40E-08,7.63E-06,9.362222761,COPG2
99,208663_s_at,-1.242965291,9.258286279,-4.394090979,2.12E-05,0.000442914,2.425271214,TTC3
100,205200_at,1.238833263,9.80313997,3.235712126,0.001499932,0.008939171,-1.513220391,CLEC3B
101,205200_at,1.238833263,9.80313997,3.235712126,0.001499932,0.008939171,-1.513220391,EXOSC7
102,204623_at,1.237929637,5.957670908,3.526358087,0.000562674,0.004322031,-0.618109586,TFF3
103,243610_at,-1.236136246,5.477893002,-4.06626635,7.77E-05,0.001053824,1.212964416,CFAP95
104,201927_s_at,-1.235932682,4.997055526,-3.767483737,0.000238245,0.002321106,0.173333273,PKP4
105,210717_at,1.234837503,6.269154389,3.227261419,0.00154188,0.0091049,-1.538258674,NA
106,208370_s_at,-1.234300349,8.655271208,-5.061163096,1.23E-06,7.71E-05,5.106545527,RCAN1
107,225062_at,-1.232306585,6.53051779,-4.395822123,2.11E-05,0.000441463,2.431864933,LOC389831
108,225062_at,-1.232306585,6.53051779,-4.395822123,2.11E-05,0.000441463,2.431864933,LOC102723360
109,225062_at,-1.232306585,6.53051779,-4.395822123,2.11E-05,0.000441463,2.431864933,LOC102724219
110,225062_at,-1.232306585,6.53051779,-4.395822123,2.11E-05,0.000441463,2.431864933,LOC102724843
111,225062_at,-1.232306585,6.53051779,-4.395822123,2.11E-05,0.000441463,2.431864933,LOC102724951
112,205041_s_at,-1.230742676,4.404646692,-3.8846854,0.000154612,0.001705346,0.573512425,ORM1
113,205041_s_at,-1.230742676,4.404646692,-3.8846854,0.000154612,0.001705346,0.573512425,ORM2
114,239150_at,-1.2293427,5.499146405,-3.759311694,0.00024545,0.002363859,0.145803635,SNTN
115,222196_at,-1.228506868,6.675403793,-3.229041342,0.001532955,0.009073147,-1.53298971,FAM239B
116,222196_at,-1.228506868,6.675403793,-3.229041342,0.001532955,0.009073147,-1.53298971,LOC389906
117,201888_s_at,-1.224871747,5.943522525,-6.466975244,1.40E-09,2.64E-06,11.55833308,IL13RA1
118,208079_s_at,-1.222875285,5.878309372,-4.320600871,2.85E-05,0.000534494,2.147187711,AURKA
119,1552611_a_at,-1.222592101,6.153518679,-5.892213254,2.51E-08,1.13E-05,8.80350545,JAK1
120,219768_at,-1.222502853,6.24729002,-3.764431933,0.000240912,0.002335022,0.163046752,VTCN1
121,1553111_a_at,-1.221787732,4.498984217,-5.170070268,7.54E-07,5.82E-05,5.569726794,KBTBD6
122,223475_at,-1.221330424,7.235149689,-3.204950391,0.00165793,0.009577107,-1.604091091,CRISPLD1
123,220253_s_at,-1.221048913,4.245190345,-5.371268363,3.00E-07,3.62E-05,6.442968263,LRP12
124,212157_at,-1.220974821,7.392985837,-5.625589054,9.09E-08,1.95E-05,7.578039713,SDC2
125,241765_at,-1.220156884,6.436843153,-3.312510611,0.001164555,0.007362038,-1.28309387,CPM
126,237719_x_at,-1.220040655,3.642924647,-4.225038291,4.18E-05,0.000688656,1.79099008,RGS7BP
127,222608_s_at,-1.219008863,6.316997493,-3.506493659,0.000602846,0.00453191,-0.681361292,ANLN
